id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12488,ORANG,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,999,ORANG,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,3950,ORANG,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,1180,ORANG,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,6312,ORANG,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,2411,ORANG,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,9820,ORANG,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,3726,ORANG,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,3161,ORANG,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6194,ORANG,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,929,ORANG,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,18666,ORANG,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10231,ORANG,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6871,ORANG,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21018,ORANG,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,30266,ORANG,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14122,ORANG,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1872,ORANG,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4798,ORANG,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,10635,ORANG,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3063,ORANG,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6316,ORANG,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3797,ORANG,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,1188,ORANG,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1438,ORANG,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2768,ORANG,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,3899,ORANG,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9304,ORANG,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,519,ORANG,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,1743,ORANG,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,806,ORANG,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,6614,ORANG,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,2381,ORANG,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,4575,ORANG,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,3637,ORANG,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,3036,ORANG,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5633,ORANG,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,846,ORANG,2022
