Kabupaten/Kota,jumlah_SD/MI,jumlah_SD/MI_SG_Massal,%jumlah_SD/MI_SG_Massal,jumlah_SD/MI_LG,%jumlah_SD/MI_LG,jumlah_murid_SD/MI_L,jumlah_murid_SD/MI_P,jumlah_murid_SD/MI_LP,jumlah_murid_SD/MI_L_Diperiksa,%jumlah_murid_SD/MI_L_Diperiksa,jumlah_murid_SD/MI_P_Diperiksa,%jumlah_murid_SD/MI_P_Diperiksa,jumlah_murid_SD/MI_LP_Diperiksa,%jumlah_murid_SD/MI_LP_Diperiksa,jumlah_murid_SD/MI_L_PR,jumlah_murid_SD/MI_P_PR,jumlah_murid_SD/MI_LP_PR,jumlah_murid_SD/MI_L_MP,%jumlah_murid_SD/MI_L_MP,jumlah_murid_SD/MI_P_MP,%jumlah_murid_SD/MI_P_MP,jumlah_murid_SD/MI_LP_MP,%jumlah_murid_SD/MI_LP_MP,tahun
Kota Sukabumi,100,17,17.0,79,79.0,12132,11699,23831,7598,62.6,7246,61.9,14844,62.3,4230,4027,8257,438,10.4,541,13.4,979,11.9,2021
Kota Bandung,271,23,8.5,1292,476.8,43447,41154,84601,19473,44.8,19064,46.3,38537,45.6,6310,6547,12857,2497,39.6,2947,45.0,5444,42.3,2021
Kota Cirebon,184,0,0.0,184,100.0,19440,17889,37329,2088,10.7,2641,14.8,4729,12.7,2165,2735,4900,643,29.7,834,30.5,1477,30.1,2021
Kota Bekasi,801,0,0.0,67,8.4,141227,134936,276163,9674,6.8,9416,7.0,19090,6.9,3060,3254,6314,1735,56.7,1916,58.9,3651,57.8,2021
Kota Depok,583,48,8.2,453,77.7,103077,97879,200956,41335,40.1,40584,41.5,81919,40.8,17657,18333,35990,4520,25.6,5144,28.1,9664,26.9,2021
Kota Cimahi,146,14,9.6,71,48.6,25367,24550,49917,6873,27.1,7033,28.6,13906,27.9,3073,2729,5802,401,13.0,524,19.2,925,15.9,2021
Kota Tasikmalaya,282,209,74.1,262,92.9,37565,40139,77704,13662,36.4,13436,33.5,27098,34.9,6394,6461,12855,3456,54.1,3467,53.7,6923,53.9,2021
Kota Banjar,111,72,64.9,117,105.4,10732,10359,21091,4048,37.7,3934,38.0,7982,37.8,1129,1335,2464,733,64.9,678,50.8,1411,57.3,2021
Jawa Barat,21065,6555,31.1,19292,91.6,1562281,1549221,3111502,393967,25.2,385897,24.9,779864,25.1,135598,137215,305241,54422,40.1,58494,42.6,107563,35.2,2021
Kabupaten Bogor,1699,1699,100.0,1699,100.0,119461,108524,227985,7504,6.3,7322,6.7,14826,6.5,3212,2766,5978,423,13.2,312,11.3,735,12.3,2022
